A̱o,Trimestre,Ingresos (miles de pesos),Periodo,Nivel general
2024,1,280419124.08,Ene-Mar 2024,44.8
2023,4,167376014.8,Oct-Dic 2023,46.6
2023,3,133106593.41,Jul-Sept 2023,31.4
2023,2,118060280.28,Jun-Mar 2023,22.2
2023,1,104134992.81,Ene-Mar 2023,20.3
2022,4,72443482.9891497,Oct-Dic 2022,16.299999999999997
2022,3,64086784.3305304,Jul-Sept 2022,20.6
2022,2,60419500.6232803,Abr-Jun 2022,16.4
2022,1,55219313.0146503,Ene-Mar 2022,15.3
2021,4,45467887.16501248,Oct-Dic 2021,9.8
2021,3,42999944.292822465,Jul-Sept 2021,9.0
2021,2,38239666.63354247,Abr-Jun 2021,10.6
2021,1,36676371.36239245,Ene-Mar 2021,12.399999999999999
2020,4,33539702.716311768,Oct-Dic 2020,11.0
2020,3,31997444.530699246,Jul-Sept 2020,7.3999999999999995
2020,2,32102475.991463635,Abr-Jun 2020,5.2
2020,1,29946216.452049132,Ene-Mar 2020,7.6
2019,4,24169250.699015297,Oct-Dic 2019,11.3
2019,3,21652748.444642507,Jul-Sept 2019,12.100000000000001
2019,2,20743117.694006097,Abr-Jun 2019,9.2
2019,1,20207413.77085243,Ene-Mar 2019,11.399999999999999
2018,4,16637686.589009605,Oct-Dic 2018,11.200000000000001
2018,3,15410980.692582969,Jul-Sept 2018,13.5
2018,2,14319467.460713817,Abr-Jun 2018,8.5
2018,1,13171459.230893355,Ene-Mar 2018,6.5
2017,4,11226127.38858,Oct-Dic 2017,6.0
2017,3,10065997.86215,Jul-Sept 2017,5.0
2017,2,9678646.92829,Abr-Jun 2017,5.3
2017,1,8701201.42137,Ene-Mar 2017,6.1
